id,name,shop_url,agb_url;;;;;;
59,Godi’s Groß- u. Einzelhandels GmbH,www.home-elektro.de,http://www.home-elektro.de/AGB;;;;;;
60,Westfalia Werkzeugcompany GmbH &amp; Co.KG,www.westfalia.de,https://www.westfalia.de/static/servicebereich/service/serviceangebote/agb.html;;;;;
61,Handelshaus Wagner GmbH,www.campingshopwagner.de,https://www.campingshopwagner.de/shop_content.php/coID/3/content/Unsere-AGB-s;;;;;;
62,seeside e.K. - Daniela Föhl,www.seeside.de,http://www.seeside.de/cgi-bin/shop/front/shop_main.cgi?func=htmlserv&tmpl=shop_text_win.html&content=std_agb&wkid=2085172466777516;;;;;;
63,BaSBa Batterien GmbH,basba.de,https://basba.de/agb/;;;;;;
64,Inhaber: Göran Völker,www.parfumerie-discounter.de,https://www.parfumerie-discounter.de/AGB;;;;;;
65,URANO eBusiness GmbH,www.urano-shop.de,https://www.urano-shop.de/Dealer/TermsAndConditions/;;;;;;
66,Rainer Erdmann,www.warsteiner-fotoversand.eu,http://www.warsteiner-fotoversand.eu/de/Unsere-AGB;;;;;;
67,Foto Köster OHG,www.foto-koester.de,https://www.foto-koester.de/agb;;;;;;
68,parfümerie akzente GmbH,www.parfumdreams.de,https://www.parfumdreams.de/AGB-und-Kundeninformationen;;;;;;
69,ukw24 GmbH,www.screenmaxx.com,https://www.screenmaxx.com/agb;;;;;;
70,Flaconi GmbH,www.flaconi.de,https://www.flaconi.de/agb/;;;;;;
71,HIFI &amp; FOTO KOCH GmbH,www.fotokoch.de,https://www.fotokoch.de/content/agb.shtml;;;;;
72,batterium GmbH,www.autobatterienbilliger.de,https://www.autobatterienbilliger.de/AGB;;;;;;
73,André Schilling,www.parfuemfuerdich.de,https://www.parfuemfuerdich.de/agb.html;;;;;;
74,Home24 AG,www.home24.de,https://www.home24.de/media/om/dokumente/agbs.pdf;;;;;;
75,Apotheke im Paunsdorf Center Kirsten Fritsch e.K.,www.apotheke-online.de,https://www.apotheke-online.de/AGB.html;;;;;;
76,reifencom GmbH,www.reifen.com,http://www.reifen.com/de/faq/agb;;;;;;
77,Modell Hobby &amp; Toy's GmbH,www.rc-toy.de,http://www.rc-toy.de/cosmoshop/cgi-bin/lshop.cgi?action=inline&wkid=7daef63b7dce34a27c5717cd4abac6fd&ls=d&nc=1379656278-2222&rubnum=rc-toy-shop.rc-toy&artnum=AGB&file=AGB-d.html&gesamt_zeilen=&dir=shophtml_rct;;;;;
78,Haus und Garten Internethandels GmbH,www.baumarkteu.de,https://www.baumarkteu.de/index.php?route=product/search&filter_name=allgemeine-geschaeftsbedingungen&filter_sub_category=true;;;;;;
79,Smartino GmbH &amp; Co. KG,www.funktionelles.de,http://www.funktionelles.de/;;;;;
80,Kruse Reinigungstechnik und Hygienebedarf GmbH &amp; Co. KG,www.reinigungsberater.de,https://www.reinigungsberater.de/agb/agb.php;;;;;
81,SGRO Handels GmbH &amp; Co. KG,www.softwarepalast.de,http://www.softwarepalast.de/AGB-und-Kundeninformationen:_:3.html;;;;;
82,MSK Bürotechnik u. Handels GmbH,www.tonerpreis.de,https://www.tonerpreis.de/agb.php;;;;;;
83,Tirendo Deutschland GmbH,www.tirendo.de,http://www.tirendo.de/agb/;;;;;;
84,ARDMED Medical Supplies GmbH &amp; Co. KG,www.vaimed.de,https://www.vaimed.de/epages/62658569.sf/de_DE/?ObjectPath=/Shops/62658569/Categories/TermsAndConditions;;;;;
85,Rudolf Wiegand und Partner GmbH,www.tonermacher.de,https://www.tonermacher.de/agb.php;;;;;;
86,Outlet46.de - Inhaber: Fatih Özdemir,www.outlet46.de,https://www.outlet46.de/content/agb/;;;;;;
87,P3 GmbH,www.miti24.de,http://www.miti24.de/Unsere-AGB:_:3.html;;;;;;
88,SKIHAUS HELLENBERG e.K.,www.ski-andmore.de,https://www.ski-andmore.de/content/agb;;;;;;
89,MP Vertriebs GmbH,www.psi-24.com,http://www.psi-24.com/shop_content.php/coID/3/content/Unsere-AGB;;;;;;
90,Foto Thun GmbH,www.fotothun.de,https://www.fotothun.de/shop_content.php/coID/3/product/AGB;;;;;;
91,expert TechnoMarkt Online GmbH &amp; Co. KG,www.expert-technomarkt.de,https://www.expert-technomarkt.de/cms/agb.html;;;;;
92,Inh: Dirk Hahn,www.ac-sat-corner.eu,http://www.ac-sat-corner.eu/shop/agb.php;;;;;;
93,Eye &amp; Lenses Ltd. &amp; Co. KG,www.1a-sehen.de,https://www.1a-sehen.de/Unsere-AGB:_:3.html;;;;
94,Hausgeräte Hamp,www.hamp-hausgeraete.de,http://www.hamp-hausgeraete.de/agb;;;;;;
95,point-rouge GmbH,www.point-rouge.de,https://www.point-rouge.de/agb;;;;;;
96,KochForm GmbH,www.kochform.de,http://www.kochform.de/AGB.html;;;;;;
97,Proshop ApS,www.proshop.de,https://www.proshop.de/Allgemeine-Geschaeftsbedingungen.htm;;;;;;
98,SADIK AKSOY e.K.,www.satboerse24.de,https://www.satboerse24.de/content/unsere-agb.html;;;;;;
99,Stefan Grünewald e.K.,www.mp3-player.de,http://www.mp3-player.de/index.php?page=agb2;;;;;;
